epoch,train_loss,train_acc,val_loss,val_acc
1,0.6462573338238919,0.6861338797814208,0.2365996939033569,0.9264214046822743
2,0.14123469656282436,0.9497950819672131,0.058577007604731765,0.979933110367893
3,0.07010112751702793,0.9771174863387978,0.044686142546763286,0.9832775919732442
4,0.05778307718087415,0.9815573770491803,0.04072027507099482,0.9832775919732442
5,0.04685166411488597,0.9849726775956285,0.118210183670682,0.9464882943143813
6,0.03661283718096347,0.9880464480874317,0.041959863358931024,0.9866220735785953
7,0.03420562604747591,0.9890710382513661,0.09144357449832967,0.959866220735786
8,0.025275799334163733,0.9924863387978142,0.023310225275127112,0.9899665551839465
9,0.022315090491634902,0.9935109289617486,0.01115515501995738,0.9966555183946488
10,0.01293525904037893,0.9965846994535519,0.005925518652143593,1.0
11,0.019795012052165842,0.9935109289617486,0.01896226860167965,0.9866220735785953
12,0.012453022887205064,0.9965846994535519,0.026655136186342243,0.9933110367892977
13,0.00982354733522961,0.9962431693989071,0.03364272596996689,0.9899665551839465
14,0.004576799831743724,0.9986338797814208,0.007753770280924012,0.9966555183946488
15,0.004801521253567876,0.9986338797814208,0.01891900307886664,0.9899665551839465
16,0.016848424699410666,0.9941939890710383,0.043976768107477804,0.9899665551839465
17,0.020845310069758018,0.9941939890710383,0.009538999261851594,0.9966555183946488
18,0.006473283188626211,0.9986338797814208,0.00380870874701001,1.0
19,0.004897334881042909,0.9986338797814208,0.00753722373391486,0.9966555183946488
20,0.0055420970337629535,0.9986338797814208,0.002405536639483986,1.0
21,0.005295307761951365,0.9982923497267759,0.0038050339023043777,1.0
22,0.007718828917759957,0.9982923497267759,0.0013004695596476612,1.0
23,0.002886674249839913,0.9989754098360656,0.014069447384425556,0.9933110367892977
24,0.008575588716493023,0.9972677595628415,0.002865866634572642,1.0
25,0.008460353544792841,0.9976092896174863,0.0006196333819279606,1.0
26,0.0007836615276191183,0.9996584699453552,0.00020689990736608033,1.0
27,0.0008562003597054952,1.0,0.00025185605632663266,1.0
28,0.0023563319510720476,0.9989754098360656,0.0004221860871101637,1.0
29,0.001906994095426724,0.9993169398907104,0.0004004414149919793,1.0
30,0.0013226854338118938,0.9996584699453552,0.00033522670550350126,1.0
31,0.0016291493017088414,0.9996584699453552,0.0007552507532137956,1.0
32,0.0008528070175188341,0.9996584699453552,0.0002273235961071887,1.0
33,0.0008115457352602883,1.0,9.960274435615644e-05,1.0
34,0.06682581189350538,0.9815573770491803,0.005459723402505751,0.9966555183946488
35,0.020201712679925828,0.9924863387978142,0.01804658520402115,0.9933110367892977
36,0.011901934895170801,0.9972677595628415,0.003929626614978244,1.0
37,0.006300049704496998,0.9989754098360656,0.0034819959815515942,0.9966555183946488
38,0.0026782445735686147,0.9993169398907104,0.0006474853711381646,1.0
39,0.0007075499166712887,0.9996584699453552,0.0002247006954368534,1.0
40,0.0026278976782252426,0.9993169398907104,0.002521298066291446,1.0
41,0.0018995901409255421,0.9996584699453552,0.003418105577783654,1.0
