source_name,class,sequence_folder,raw_images,windows,sequence_rows,status,message
BLENDER_DROWNING,ACTIVE_DROWNING,C01_M07_DROWNING\CAM01\images,180,2,100,OK,
BLENDER_DROWNING,ACTIVE_DROWNING,C01_M07_DROWNING\CAM02\images,180,2,100,OK,
BLENDER_DROWNING,ACTIVE_DROWNING,C01_M07_DROWNING\CAM03\images,180,2,100,OK,
BLENDER_DROWNING,ACTIVE_DROWNING,C01_M07_DROWNING\CAM04\images,180,2,100,OK,
BLENDER_DROWNING,ACTIVE_DROWNING,C01_M07_DROWNING\CAM05\images,180,2,100,OK,
BLENDER_FLOATING,FLOATING,C01_M08_FLOAT_IDLE\CAM01\images,152,1,50,OK,
BLENDER_FLOATING,FLOATING,C01_M08_FLOAT_IDLE\CAM02\images,152,1,50,OK,
BLENDER_FLOATING,FLOATING,C01_M08_FLOAT_IDLE\CAM03\images,152,1,50,OK,
BLENDER_FLOATING,FLOATING,C01_M08_FLOAT_IDLE\CAM04\images,152,1,50,OK,
BLENDER_FLOATING,FLOATING,C01_M08_FLOAT_IDLE\CAM05\images,67,0,0,OK,
